Code,Name
G,Gold
R,Rhodium (Silver)
A,Apricot
AG,Apple Green
AM,Amazonite
BK,Black
BL,Blue
BMP,Black Mother of Pearl
BR,Brown
BTQ,Blue Turquoise
BUR,Burgundy
CA,Cherry Amber
CG,Cool Grey
CL,Clear
CR,Cream
DLV,Dark Lavender
DM,Denim
EG,Evergreen
EM,Emerald Green
GY,Grey
HM,Hematite (Gunmetal)
H,Honey Amber
HP,Hot Pink
L,Lavender
LB,Light Blue
LG,Lime Green
LT,Latte
M,Malachite
MT,Mint
MU,Multicolor
MV,Mauve
MY,Mustard
NG,Neon Green
NV,Navy
OL,Olive
OR,Orange
OX,Onyx
P,Mother of Pearl
PK,Pink
PR,Purple
RB,Royal Blue
RD,Red
RR,Ruby Red
RS,Rose Quartz
S,Rose Gold
T,Tiger Eye
TL,Teal
TQ,Turquoise
W,White
WMP,White Mother of Pearl
Y,Yellow
